Li,Ni,Co,Mn,M,LC_a,LC_c,CV,CD,V_min,V_max,Mr_dopant,Mr,no_electron_M,EN_M,No_iso_dopant,E_ion_dopant,EA_dopant,AR_dopant,IR_dopant,IC,EC
1.188,0.13,0.13,0.54,0.012,2.8503,14.1932,99.86,125,2,4.8,132.91,85.2,55,0.79,22,376,0.471,298,260,210,179.85
1.164,0.13,0.13,0.54,0.036,2.8493,14.1944,99.799,125,2,4.8,132.91,85.04,55,0.79,22,376,0.471,298,260,221,188.06
1.104,0.13,0.13,0.54,0.096,2.8502,14.1954,99.869,125,2,4.8,132.91,84.62,55,0.79,22,376,0.471,298,260,214,185.07
1.192,0.138,0.138,0.54,0.03,2.8451,14.1895,99.473,20,2,4.7,24.31,86.17,12,1.31,8,738,-0.4,145,150,257.28,223.53
1.161,0.136,0.138,0.54,0.069,2.8456,14.195,99.541,20,2,4.7,24.31,85.84,12,1.31,8,738,-0.4,145,150,266.12,221.67
1.01,0.79,0.096,0.094,0.01,2.8689,14.186,101.116,900,2.7,4.3,52,96.2,24,1.66,9,653,0.675,166,140,163.32,148.62
1.05,0.2,0.3,0.4,0.05,2.8511,14.2236,100.128,40,2,4.6,22.99,90.68,11,0.93,7,496,0.547,190,180,194.74,183.94
1,0.2,0.3,0.4,0.1,2.8523,14.2407,100.332,40,2,4.6,22.99,90.33,11,0.93,7,496,0.547,190,180,178.98,166.42
1,0.332,0.332,0.332,0.005,2.8671,14.2443,101.405,20,2.3,4.6,95.94,96.17,42,2.16,20,684,0.747,190,145,205.43,174.57
1,0.33,0.33,0.33,0.01,2.8684,14.2547,101.571,20,2.3,4.6,95.94,95.89,42,2.16,20,684,0.747,190,145,222.57,186.29
1,0.327,0.327,0.327,0.02,2.8671,14.2689,101.58,20,2.3,4.6,95.94,95.31,42,2.16,20,684,0.747,190,145,188,168.29
1.2,0.127,0.127,0.537,0.01,2.8512,14.2284,100.171,250,2.5,4.6,92.91,84.71,41,1.6,24,652,0.917,198,145,185.9,159.35
1.2,0.123,0.123,0.533,0.02,2.8532,14.2388,100.385,250,2.5,4.6,92.91,84.14,41,1.6,24,652,0.917,198,145,213.7,191.68
1.2,0.12,0.12,0.53,0.03,2.854,14.2462,100.493,250,2.5,4.6,92.91,83.56,41,1.6,24,652,0.917,198,145,197.7,170.47
1,0.333,0.333,0.313,0.02,2.867,14.2638,101.537,160,2.7,4.3,92.91,95.36,41,1.6,24,652,0.917,198,145,171.65,162.92
0.967,0.909,0.086,0.012,0.011,2.873,14.1907,101.439,90,2.6,4.2,24.31,97.79,12,1.31,8,738,-0.4,145,150,190.31,126.36
0.963,0.91,0.064,0.022,0.027,2.8734,14.2181,101.663,90,2.6,4.2,24.31,97.07,12,1.31,8,738,-0.4,145,150,183.53,159.27
0.963,0.912,0.046,0.032,0.031,2.8738,14.2192,101.7,90,2.6,4.2,24.31,96.68,12,1.31,8,738,-0.4,145,150,180.63,118.94
1,0.336,0.333,0.331,0,2.8606,14.2299,100.843,150,3,4.3,63.55,96.47,29,1.9,11,746,1.235,145,135,144.58,131.81
1,0.323,0.346,0.319,0.011,2.8577,14.2219,100.582,150,3,4.3,63.55,95.85,29,1.9,11,746,1.235,145,135,137.5,129.71
1,0.327,0.339,0.329,0.016,2.8598,14.2277,100.771,150,3,4.3,63.55,96.15,29,1.9,11,746,1.235,145,135,86.25,85.2
1,0.332,0.344,0.324,0,2.8614,14.2324,100.917,150,2.5,4.3,55.85,96.5,26,1.83,10,763,0.153,156,140,144.16,136.93
1,0.342,0.335,0.323,0.002,2.8618,14.233,100.95,150,2.5,4.3,55.85,96.5,26,1.83,10,763,0.153,156,140,144.87,138
1,0.319,0.349,0.332,0.009,2.8626,14.2381,101.042,150,2.5,4.3,55.85,96.47,26,1.83,10,763,0.153,156,140,137.25,133
1.01,0.602,0.202,0.191,0.01,2.8691,14.2192,101.367,160,2.8,4.5,24.31,96.74,12,1.31,8,738,-0.4,145,150,195,180.58
1.006,0.6,0.2,0.169,0.03,2.8687,14.219,101.337,160,2.8,4.5,24.31,95.27,12,1.31,8,738,-0.4,145,150,182.1,174.04
